id,probability,payoutMultiplier
601,1000000,234.86
602,1000000,1.14
603,1000000,265.88
604,1000000,31.9
605,1000000,126.41
606,1000000,132.89
607,1000000,254.37
608,1000000,35.81
609,1000000,44.61
610,1000000,315.95
611,1000000,76.12
612,1000000,200.15
613,1000000,18.68
614,1000000,18.39
615,1000000,0.0
616,1000000,0.11
617,1000000,85.4
618,1000000,212.85
619,1000000,52.8
620,1000000,39.77
621,1000000,2.82
622,1000000,99.11
623,1000000,229.53
624,1000000,176.25
625,1000000,101.75
626,1000000,13.75
627,1000000,31.4
628,1000000,20.37
629,1000000,109.85
630,1000000,45.08
631,1000000,7.4
632,1000000,366.03
633,1000000,127.5
634,1000000,195.91
635,1000000,49.1
636,1000000,22.64
637,1000000,0.47
638,1000000,23.0
639,1000000,86.42
640,1000000,148.22
641,1000000,316.6
642,1000000,254.08
643,1000000,111.97
644,1000000,255.1
645,1000000,143.18
646,1000000,0.32
647,1000000,18.79
648,1000000,1.43
649,1000000,0.33
650,1000000,123.84
651,1000000,103.13
652,1000000,0.49
653,1000000,28.14
654,1000000,132.72
655,1000000,86.49
656,1000000,53.96
657,1000000,301.48
658,1000000,4.68
659,1000000,201.93
660,1000000,288.45
661,1000000,4.03
662,1000000,140.54
663,1000000,64.45
664,1000000,0.0
665,1000000,49.6
666,1000000,39.6
667,1000000,134.37
668,1000000,11.49
669,1000000,197.0
670,1000000,242.7
671,1000000,243.17
672,1000000,50.95
673,1000000,131.91
674,1000000,45.45
675,1000000,166.07
676,1000000,245.44
677,1000000,221.92
678,1000000,0.04
679,1000000,1.61
680,1000000,113.78
681,1000000,211.04
682,1000000,234.62
683,1000000,121.05
684,1000000,268.51
685,1000000,0.44
686,1000000,71.52
687,1000000,0.21
688,1000000,127.86
689,1000000,340.86
690,1000000,50.76
691,1000000,177.88
692,1000000,33.63
693,1000000,43.75
694,1000000,38.85
695,1000000,186.67
696,1000000,9.73
697,1000000,283.86
698,1000000,209.03
699,1000000,213.1
700,1000000,250.42
701,1000000,273.95
702,1000000,373.82
703,1000000,27.64
