id,criteria,baseGameWins,freeGameWins,payoutMultiplier
308,0,0.0,0.0,0.0
309,0,0.0,0.0,0.0
310,basegame,11.25,0.0,11.25
311,0,0.0,0.0,0.0
312,0,0.0,0.0,0.0
313,0,0.0,0.0,0.0
314,0,0.0,0.0,0.0
315,0,0.0,0.0,0.0
316,0,0.0,0.0,0.0
317,freegame,0.0,44.27,44.27
318,0,0.0,0.0,0.0
319,basegame,4.09,0.0,4.09
320,0,0.0,0.0,0.0
321,0,0.0,0.0,0.0
322,0,0.0,0.0,0.0
323,0,0.0,0.0,0.0
324,0,0.0,0.0,0.0
325,0,0.0,0.0,0.0
326,0,0.0,0.0,0.0
327,0,0.0,0.0,0.0
328,basegame,0.51,0.0,0.51
329,0,0.0,0.0,0.0
330,0,0.0,0.0,0.0
331,0,0.0,0.0,0.0
332,0,0.0,0.0,0.0
333,basegame,1.21,0.0,1.21
334,0,0.0,0.0,0.0
335,0,0.0,0.0,0.0
336,basegame,0.28,0.0,0.28
337,basegame,2.52,0.0,2.52
338,0,0.0,0.0,0.0
339,0,0.0,0.0,0.0
340,basegame,0.31,0.0,0.31
341,0,0.0,0.0,0.0
342,0,0.0,0.0,0.0
343,basegame,0.28,0.0,0.28
344,0,0.0,0.0,0.0
345,basegame,0.93,0.0,0.93
346,0,0.0,0.0,0.0
347,0,0.0,0.0,0.0
348,0,0.0,0.0,0.0
349,basegame,1.77,0.0,1.77
350,basegame,5.39,0.0,5.39
351,0,0.0,0.0,0.0
352,0,0.0,0.0,0.0
353,basegame,0.65,0.0,0.65
354,basegame,0.17,0.0,0.17
355,0,0.0,0.0,0.0
356,0,0.0,0.0,0.0
357,0,0.0,0.0,0.0
358,basegame,0.09,0.0,0.09
359,0,0.0,0.0,0.0
360,0,0.0,0.0,0.0
361,0,0.0,0.0,0.0
362,basegame,0.56,0.0,0.56
363,0,0.0,0.0,0.0
364,0,0.0,0.0,0.0
365,basegame,0.09,0.0,0.09
366,basegame,7.91,0.0,7.91
367,basegame,5.58,0.0,5.58
368,0,0.0,0.0,0.0
369,0,0.0,0.0,0.0
370,0,0.0,0.0,0.0
371,0,0.0,0.0,0.0
372,0,0.0,0.0,0.0
373,basegame,0.71,0.0,0.71
374,basegame,0.98,0.0,0.98
375,0,0.0,0.0,0.0
376,0,0.0,0.0,0.0
377,0,0.0,0.0,0.0
378,basegame,4.37,0.0,4.37
379,0,0.0,0.0,0.0
380,0,0.0,0.0,0.0
381,0,0.0,0.0,0.0
382,0,0.0,0.0,0.0
383,basegame,8.21,0.0,8.21
384,0,0.0,0.0,0.0
385,0,0.0,0.0,0.0
386,0,0.0,0.0,0.0
387,0,0.0,0.0,0.0
388,0,0.0,0.0,0.0
389,0,0.0,0.0,0.0
390,0,0.0,0.0,0.0
391,0,0.0,0.0,0.0
392,0,0.0,0.0,0.0
393,basegame,1.89,0.0,1.89
394,0,0.0,0.0,0.0
395,basegame,2.75,0.0,2.75
396,basegame,0.22,0.0,0.22
397,0,0.0,0.0,0.0
398,0,0.0,0.0,0.0
399,0,0.0,0.0,0.0
400,basegame,1.26,0.0,1.26
401,0,0.0,0.0,0.0
402,basegame,0.11,0.0,0.11
403,basegame,2.98,0.0,2.98
404,0,0.0,0.0,0.0
405,0,0.0,0.0,0.0
406,basegame,4.45,0.0,4.45
407,0,0.0,0.0,0.0
408,0,0.0,0.0,0.0
409,0,0.0,0.0,0.0
410,basegame,4.56,0.0,4.56
411,0,0.0,0.0,0.0
412,0,0.0,0.0,0.0
413,0,0.0,0.0,0.0
414,0,0.0,0.0,0.0
415,0,0.0,0.0,0.0
416,0,0.0,0.0,0.0
417,0,0.0,0.0,0.0
418,0,0.0,0.0,0.0
419,basegame,0.47,0.0,0.47
420,0,0.0,0.0,0.0
421,0,0.0,0.0,0.0
422,0,0.0,0.0,0.0
423,basegame,0.11,0.0,0.11
424,0,0.0,0.0,0.0
425,0,0.0,0.0,0.0
426,0,0.0,0.0,0.0
427,0,0.0,0.0,0.0
428,0,0.0,0.0,0.0
429,basegame,0.83,0.0,0.83
430,basegame,0.42,0.0,0.42
431,0,0.0,0.0,0.0
432,0,0.0,0.0,0.0
433,0,0.0,0.0,0.0
434,0,0.0,0.0,0.0
435,basegame,2.03,0.0,2.03
436,basegame,0.09,0.0,0.09
437,0,0.0,0.0,0.0
438,0,0.0,0.0,0.0
439,0,0.0,0.0,0.0
440,0,0.0,0.0,0.0
441,0,0.0,0.0,0.0
442,0,0.0,0.0,0.0
443,basegame,0.09,0.0,0.09
444,0,0.0,0.0,0.0
445,0,0.0,0.0,0.0
446,0,0.0,0.0,0.0
447,0,0.0,0.0,0.0
448,0,0.0,0.0,0.0
449,0,0.0,0.0,0.0
450,0,0.0,0.0,0.0
451,0,0.0,0.0,0.0
452,basegame,0.51,0.0,0.51
453,0,0.0,0.0,0.0
454,0,0.0,0.0,0.0
455,0,0.0,0.0,0.0
456,0,0.0,0.0,0.0
457,0,0.0,0.0,0.0
458,0,0.0,0.0,0.0
459,0,0.0,0.0,0.0
460,basegame,0.23,0.0,0.23
461,0,0.0,0.0,0.0
462,freegame,0.0,0.0,0.0
463,0,0.0,0.0,0.0
464,0,0.0,0.0,0.0
465,0,0.0,0.0,0.0
466,0,0.0,0.0,0.0
467,basegame,0.09,0.0,0.09
468,0,0.0,0.0,0.0
469,basegame,0.17,0.0,0.17
470,0,0.0,0.0,0.0
471,basegame,0.19,0.0,0.19
472,basegame,0.35,0.0,0.35
473,0,0.0,0.0,0.0
474,basegame,0.56,0.0,0.56
475,0,0.0,0.0,0.0
476,0,0.0,0.0,0.0
477,0,0.0,0.0,0.0
478,0,0.0,0.0,0.0
479,basegame,0.11,0.0,0.11
480,0,0.0,0.0,0.0
481,0,0.0,0.0,0.0
482,0,0.0,0.0,0.0
483,0,0.0,0.0,0.0
484,0,0.0,0.0,0.0
485,basegame,0.14,0.0,0.14
486,0,0.0,0.0,0.0
487,0,0.0,0.0,0.0
488,basegame,0.35,0.0,0.35
489,0,0.0,0.0,0.0
490,0,0.0,0.0,0.0
491,0,0.0,0.0,0.0
492,basegame,0.98,0.0,0.98
493,basegame,0.09,0.0,0.09
494,basegame,14.88,0.0,14.88
495,0,0.0,0.0,0.0
496,0,0.0,0.0,0.0
497,0,0.0,0.0,0.0
498,basegame,0.6,0.0,0.6
499,0,0.0,0.0,0.0
500,0,0.0,0.0,0.0
501,0,0.0,0.0,0.0
502,0,0.0,0.0,0.0
503,0,0.0,0.0,0.0
504,0,0.0,0.0,0.0
505,0,0.0,0.0,0.0
506,0,0.0,0.0,0.0
507,0,0.0,0.0,0.0
508,0,0.0,0.0,0.0
509,basegame,0.33,0.0,0.33
510,0,0.0,0.0,0.0
511,0,0.0,0.0,0.0
512,0,0.0,0.0,0.0
513,0,0.0,0.0,0.0
514,0,0.0,0.0,0.0
515,basegame,0.28,0.0,0.28
516,0,0.0,0.0,0.0
517,0,0.0,0.0,0.0
518,0,0.0,0.0,0.0
519,0,0.0,0.0,0.0
520,0,0.0,0.0,0.0
521,basegame,0.35,0.0,0.35
522,0,0.0,0.0,0.0
523,basegame,0.33,0.0,0.33
524,basegame,0.17,0.0,0.17
525,0,0.0,0.0,0.0
526,basegame,0.93,0.0,0.93
527,0,0.0,0.0,0.0
528,0,0.0,0.0,0.0
529,0,0.0,0.0,0.0
530,0,0.0,0.0,0.0
531,0,0.0,0.0,0.0
532,0,0.0,0.0,0.0
533,0,0.0,0.0,0.0
534,basegame,0.09,0.0,0.09
535,basegame,0.65,0.0,0.65
536,0,0.0,0.0,0.0
537,basegame,12.28,0.0,12.28
538,basegame,11.54,0.0,11.54
539,0,0.0,0.0,0.0
540,freegame,0.0,7.3,7.3
541,0,0.0,0.0,0.0
