id,criteria,baseGameWins,freeGameWins,payoutMultiplier
379,freegame,0.0,122.32,122.32
380,freegame,0.0,63.88,63.88
381,freegame,0.0,0.6,0.6
382,freegame,0.0,4.62,4.62
383,freegame,0.0,93.22,93.22
384,freegame,0.0,0.22,0.22
385,freegame,0.0,159.4,159.4
386,freegame,0.0,29.09,29.09
387,freegame,0.0,2.96,2.96
388,freegame,0.0,81.48,81.48
389,freegame,0.0,0.56,0.56
390,freegame,0.0,181.32,181.32
391,freegame,0.0,104.59,104.59
392,freegame,0.0,127.63,127.63
393,freegame,0.0,9.3,9.3
394,freegame,0.0,1.0,1.0
395,freegame,0.0,32.3,32.3
396,freegame,0.0,100.25,100.25
397,freegame,0.0,229.74,229.74
398,freegame,0.0,90.46,90.46
399,freegame,0.0,0.96,0.96
400,freegame,0.0,222.72,222.72
401,freegame,0.0,26.83,26.83
402,freegame,0.0,40.39,40.39
403,freegame,0.0,61.34,61.34
404,freegame,0.0,253.17,253.17
405,freegame,0.0,101.78,101.78
406,freegame,0.0,282.13,282.13
407,freegame,0.0,0.02,0.02
408,freegame,0.0,4.37,4.37
409,freegame,0.0,6.4,6.4
410,freegame,0.0,0.35,0.35
411,freegame,0.0,167.95,167.95
412,freegame,0.0,27.73,27.73
413,freegame,0.0,209.74,209.74
414,freegame,0.0,213.21,213.21
415,freegame,0.0,206.97,206.97
416,freegame,0.0,241.06,241.06
417,freegame,0.0,130.49,130.49
418,freegame,0.0,72.64,72.64
419,freegame,0.0,302.65,302.65
420,freegame,0.0,26.54,26.54
421,freegame,0.0,77.22,77.22
422,freegame,0.0,290.45,290.45
423,freegame,0.0,2.13,2.13
424,freegame,0.0,32.75,32.75
425,freegame,0.0,0.81,0.81
426,freegame,0.0,48.36,48.36
427,freegame,0.0,15.86,15.86
428,freegame,0.0,0.5,0.5
429,freegame,0.0,266.47,266.47
430,freegame,0.0,178.18,178.18
431,freegame,0.0,20.11,20.11
432,freegame,0.0,112.05,112.05
433,freegame,0.0,28.38,28.38
434,freegame,0.0,206.22,206.22
435,freegame,0.0,210.64,210.64
436,freegame,0.0,17.99,17.99
437,freegame,0.0,36.49,36.49
438,freegame,0.0,0.28,0.28
439,freegame,0.0,121.83,121.83
440,freegame,0.0,262.57,262.57
441,freegame,0.0,178.08,178.08
442,freegame,0.0,93.3,93.3
443,freegame,0.0,15.55,15.55
444,freegame,0.0,148.17,148.17
445,freegame,0.0,97.8,97.8
446,freegame,0.0,187.79,187.79
447,freegame,0.0,13.83,13.83
448,freegame,0.0,1.2,1.2
449,freegame,0.0,282.02,282.02
450,freegame,0.0,98.15,98.15
451,freegame,0.0,191.95,191.95
452,freegame,0.0,204.46,204.46
453,freegame,0.0,164.42,164.42
454,freegame,0.0,105.39,105.39
455,freegame,0.0,2.0,2.0
456,freegame,0.0,44.03,44.03
457,freegame,0.0,18.53,18.53
458,freegame,0.0,171.01,171.01
459,freegame,0.0,0.06,0.06
460,freegame,0.0,287.69,287.69
461,freegame,0.0,1.51,1.51
462,freegame,0.0,0.93,0.93
463,freegame,0.0,29.49,29.49
464,freegame,0.0,316.59,316.59
465,freegame,0.0,166.55,166.55
466,freegame,0.0,84.81,84.81
467,freegame,0.0,332.27,332.27
468,freegame,0.0,17.1,17.1
469,freegame,0.0,176.0,176.0
470,freegame,0.0,83.32,83.32
471,freegame,0.0,46.31,46.31
472,freegame,0.0,180.63,180.63
473,freegame,0.0,3.97,3.97
474,freegame,0.0,124.81,124.81
475,freegame,0.0,150.09,150.09
476,freegame,0.0,142.12,142.12
477,freegame,0.0,0.72,0.72
478,freegame,0.0,0.14,0.14
479,freegame,0.0,0.32,0.32
480,freegame,0.0,45.01,45.01
481,freegame,0.0,11.6,11.6
482,freegame,0.0,238.64,238.64
483,freegame,0.0,12.59,12.59
484,freegame,0.0,135.23,135.23
485,freegame,0.0,103.76,103.76
486,freegame,0.0,3.81,3.81
487,freegame,0.0,368.52,368.52
